"","Treatment","Timepoint","Photo","gs","Fv.Fm.","Starch","NSC","SM..."
"237","Dry",10,8.679115826,0.326256036,0.642540996,24.63742792,2.439320388,12.2
"238","Dry",10,9.245067833,0.264152911,0.692955899,9.068670278,2.193801344,12.7
"239","Dry",10,8.804581868,0.292641262,0.681117147,7.175553631,2.101477727,9.7
"240","Dry",10,4.721352097,0.082659232,0.57802853,16.72981057,2.193238975,15.9
"241","WW",11,-2.846406573,0.089677931,0,62.93888166,2.796730392,32.5
"242","WW",11,-2.484881179,0.089567113,0,35.82416188,3.14018043,36.8
"243","WW",11,-1.752405521,0.067714447,0,53.02045159,3.445916751,33.3
"244","WW",11,-2.437937351,0.083331564,0,32.20844302,2.911240832,35.1
"245","WW",11,-1.540628534,0.087807638,0,14.9777076,2.994715208,35.3
"246","WW",11,-2.561409024,0.05555483,0,19.96481297,2.349558838,35.5
"247","WW",11,-2.6249136,0.127070944,0,27.17366934,2.535441658,36.7
"248","WW",11,-3.065869242,0.152142348,0,27.91575177,2.628546738,28.7
"249","WW",11,-3.787701251,0.13388169,0,50.91027308,3.20023488,31.9
"250","WW",11,-2.745335455,0.188068003,0,18.55790382,3.446739257,36.3
"251","WW",11,-2.663910174,0.10041813,0,8.818513818,2.779932237,34
"252","WW",11,-3.461769535,0.084949774,0,44.48592642,3.654018859,31.4
"253","Dry",11,-1.460404599,0.03323828,0,14.55633101,1.844855935,3.1
"254","Dry",11,-0.399804123,0.009613006,0,7.614470023,1.75224547,10.2
"255","Dry",11,-2.95750007,0.074154715,0,6.433388008,2.101829969,17.2
"256","Dry",11,-3.310327727,0.067928095,0,15.62996189,2.721861048,15.8
"257","Dry",11,-3.422158722,0.099494986,0,64.79621125,1.884904013,11.3
"258","Dry",11,-1.705136382,0.055651267,0,34.42164179,2.147425783,16.2
"259","Dry",11,-2.034216435,0.07467448,0,34.70149254,2.134516615,14.7
"260","Dry",11,-1.880469684,0.040684393,0,26.64755268,2.080559254,17.7
"261","Dry",11,-3.507685856,0.083606738,0,27.21405726,2.252810207,22
"262","Dry",11,-2.565926672,0.05445836,0,33.30223881,2.238773211,19.6
"263","Dry",11,-2.07670958,0.05772438,0,28.6732322,2.087668703,17.7
"264","Dry",11,-3.231681933,0.05372131,0,34.65651652,2.603671295,11.8
"265","WW",12,-2.082832504,0.163307108,0,55.39049236,0.962059621,31.7
"266","WW",12,-2.395126181,0.118267484,0,54.32937182,0.805999439,37.3
"267","WW",12,-2.686014482,0.139026765,0,39.87160441,2.54259229889127,32.5
"268","WW",12,-2.862018787,0.107048521,0,97.31991268,1.192694219,32.1
"269","WW",12,-2.772783594,0.116283594,0,51.0781536472556,1.259278897,33.3
"270","WW",12,-3.377337125,0.101283249,0,37.35144312,1.005153494,29.4
"271","WW",12,-1.362649331,0.150014069,0,55.94227504,0.867941112,27.5
"272","WW",12,-3.443630134,0.099883179,0,34.67991611,1.031205165,31.2
"273","WW",12,-2.116669376,0.170546137,0,30.18298434,0.513478819,30.9
"274","WW",12,-3.768960974,0.102940607,0,24.59565722,1.004579011,36
"275","WW",12,-1.869165611,0.152142348,0,58.65343803,1.232002543,32
"276","WW",12,-2.721904863,0.172263307,0,1.983576491,2.020367937,36.8
"277","Dry",12,-2.386194257,0.0685896,0,3.094606543,2.42866529,10.2
"278","Dry",12,-3.213634771,0.122986114,0,11.95071259,2.009891668,18
"279","Dry",12,-2.863564483,0.111167486,0,3.981214939,1.989803556,12.8
"280","Dry",12,-2.640724324,0.074667839,0,29.46965555,1.903606103,15.3
"281","Dry",12,-2.716958732,0.078891502,0,13.30737517,2.185494487,12.6
"282","Dry",12,-3.341325285,0.160071369,0,16.32471008,1.955059937,14.9
"283","Dry",12,-3.014608246,0.095522583,0,22.84745763,2.209065862,9.4
"284","Dry",12,-2.963930811,0.081910151,0,30.19460138,2.088092519,7.1
"285","Dry",12,-2.126005862,0.07205843,0,35.10114817,2.146260338,16
"286","Dry",12,-2.135183701,0.050122907,0,15.88198368,1.677425914,11.4
"287","Dry",12,-3.232191054,0.073316493,0,18.14728229,1.959383519,15.6
"288","Dry",12,-3.941601579,0.075925411,0,55.39049236,0.962059621,16.8
